name,national_team,club,POSITION,CLUB NUMBER,NATIONAL TEAM NUMBER,COUNTRY OF BIRTH,DATE OF BIRTH,Matches played,Minutes played,Goals,Saves,Clean sheets,Passing accuracy (%),Top speed (km/h),Distance covered (km),Yellow cards,Red cards,Saves from direct free-kicks,Saves from indirect free-kicks,Saves from penalties,Goals conceded,Claims,High claims,Low claims,Punches made,Penalties scored,Balls recovered,Blocks,Own goals conceded,Penalties conceded,Clearances completed,Attempts conceded on target,Passes completed,Short passes completed,Medium passes completed,Long passes completed,Backward passes completed,Passes completed to left,Passes completed to right,Crossing accuracy (%),Crosses completed,Free-kicks taken,Times in possession,Passes into attacking third,Passes into key play area,Passes into penalty area,Right foot,Left foot,Head,Other,Assists,Clear chances,Penalties missed,Penalties awarded,Corners taken,Offsides,Dribbles,Runs into attacking third,Runs into key play area,Runs into penalty area,Fouls committed,Fouls committed in defensive third,Fouls committed in own half,Fouls suffered
REY MANAJ,Albania,Sivasspor,Forward,,,,24/2/1997 (27),3,156,0,,,76.34%,31.5,18.36,0,0,,,,,,,,,0,4,0,0,0,1/1,0,17/26,7/13,9/12,1/1,9/10,5/6,2/4,0%,0/0,0,52,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,3,5
ARMANDO BROJA,Albania,Fulham,Forward,,,,10/9/2001 (22),2,109,0,,,58.5%,33.1,12.95,1,0,,,,,,,,,0,0,0,0,0,0/0,0,11/18,3/6,8/12,0/0,4/4,1/2,2/3,0%,0/0,0,35,2,2,1,0,0,0,0,0,0,0,0,0,0,4,2,1,0,2,0,0,5
TAULANT SEFERI,Albania,Teuta,Midfielder,,,,15/11/1996 (27),2,94,0,,,73%,33.6,11.25,0,0,,,,,,,,,0,6,0,0,0,1/1,0,15/22,3/8,12/14,0/0,6/9,2/2,4/6,0%,0/1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2
IVÁN BALLIU,Albania,Rayo Vallecano,Defender,,,,01/1/1992 (32),1,90,0,,,83%,31.6,10.72,0,0,,,,,,,,,0,2,1,0,0,2/2,0,30/36,6/8,22/24,2/4,8/8,7/7,2/2,0%,0/0,1,51,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARBËR HOXHA,Albania,Dinamo Zagreb,Forward,,,,06/10/1998 (25),3,46,0,,,84.34%,33.21,7.5,1,0,,,,,,,,,0,4,0,0,0,0/0,0,14/18,5/7,9/11,0/0,7/8,0/0,3/6,0%,0/1,0,32,0,1,1,0,0,0,0,0,0,0,0,0,0,3,5,5,2,1,0,1,3
MEDON BERISHA,Albania,Lecce,Forward,,,,21/10/2003 (20),1,19,0,,,67%,28.6,3.13,1,0,,,,,,,,,0,2,0,0,0,0/0,0,6/9,2/3,4/6,0/0,3/3,1/1,1/2,0%,0/0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
KLAUS GJASULA,Albania,Darmstadt,Midfielder,,,,14/12/1989 (34),1,18,1,,,71%,25.2,2.89,1,0,,,,,,,,,0,1,0,1,0,0/0,0,5/7,3/3,2/4,0/0,1/1,2/2,0/0,0%,0/0,0,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ERNEST MUÇI,Albania,Beşiktaş,Forward,,,,19/3/2001 (23),2,11,0,,,77.5%,28.3,2.91,0,0,,,,,,,,,0,1,0,0,0,0/0,0,7/9,1/2,6/7,0/0,0/0,4/5,2/3,0%,0/0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIRLIND DAKU,Albania,Rubin,Forward,,,,01/1/1998 (26),1,5,0,,,80%,31.3,1.46,1,0,,,,,,,,,0,0,0,0,0,0/0,0,4/5,2/3,1/1,1/1,2/2,1/1,0/0,0%,0/0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
ENEA MIHAJ,Albania,Famalicao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDIAN ISMAJLI,Albania,Empoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARASH KUMBULLA,Albania,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASER ALIJI,Albania,Voluntari,Defender,,,,27/12/1993 (30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELHAN KASTRATI,Albania,Cittadella,Goalkeeper,,,,02/2/1997 (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMIR ABRASHI,Albania,Grasshoppers,Midfielder,,,,27/3/1990 (34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETRIT BERISHA,Albania,Empoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCEL SABITZER,Austria,Dortmund,Midfielder,,,,17/3/1994 (30),3,270,1,,,74.67%,33.21,32.58,0,0,,,,,,,,,0,9,0,0,0,0/0,0,73/98,22/29,46/56,5/13,32/33,11/15,10/16,26.67%,4/15,5,134,7,9,5,1,0,0,0,0,0,0,1,6,0,1,5,5,3,1,0,0,2
NICOLAS SEIWALD,Austria,Leipzig,Midfielder,,,,04/5/2001 (23),3,270,0,,,87.67%,31.7,33.71,0,0,,,,,,,,,0,20,1,0,0,7/7,0,133/150,31/34,96/107,6/9,28/28,42/46,28/30,0%,0/1,0,186,11,9,1,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0
STEFAN POSCH,Austria,Bologna,Defender,,,,14/5/1997 (27),3,270,0,,,78.34%,31.6,32.38,1,0,,,,,,,,,0,19,4,0,0,6/8,0,83/106,25/31,51/57,7/18,25/27,35/39,3/3,25%,2/8,3,199,6,5,4,0,0,0,0,0,0,0,0,0,0,3,4,5,0,9,1,5,1
PATRICK PENTZ,Austria,Brøndby,Goalkeeper,,,,02/1/1997 (27),3,270,0,5,0,82.34%,27.3,17.86,0,0,1,0,0,4,6,3,3,1,0,0,0,0,0,2/2,8,91/112,8/8,61/62,22/42,0/0,19/20,29/29,0%,0/0,5,127,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KONRAD LAIMER,Austria,Bayern,Midfielder,,,,27/5/1997 (27),3,207,0,,,86.67%,33.4,25.53,1,0,,,,,,,,,0,6,0,0,0,1/1,0,74/85,24/29,48/53,2/3,15/15,18/22,17/21,0%,0/2,2,108,6,2,3,0,0,0,0,0,1,0,0,0,0,2,5,9,1,4,2,2,1
CHRISTOPH BAUMGARTNER,Austria,Leipzig,Midfielder,,,,01/8/1999 (24),3,199,1,,,85%,31.5,24.83,1,0,,,,,,,,,0,6,0,0,0,1/1,0,61/72,27/29,30/37,4/6,15/16,14/18,14/16,33.34%,1/3,1,109,4,3,5,1,0,0,0,1,1,0,0,0,1,7,7,6,5,4,0,1,6
MARKO ARNAUTOVIĆ,Austria,Inter,Forward,,,,19/4/1989 (35),3,190,1,,,68%,31.8,20.65,1,0,,,,,,,,,1,0,0,0,0,2/2,0,27/37,11/13,15/22,1/2,9/11,10/11,6/10,0%,0/1,1,57,0,1,1,1,0,0,0,0,1,0,0,0,2,1,4,3,0,3,0,0,6
FLORIAN GRILLITSCH,Austria,Hoffenheim,Midfielder,,,,07/8/1995 (28),3,166,0,,,85.67%,30.8,20.86,0,0,,,,,,,,,0,7,0,0,0,0/0,0,104/122,20/22,75/86,9/14,25/26,28/34,35/37,100%,1/1,3,146,12,5,1,0,0,0,0,1,0,0,0,0,0,1,4,5,0,1,0,1,2
PHILIPP LIENHART,Austria,Freiburg,Defender,,,,11/7/1996 (27),2,152,0,,,97.5%,32.5,17.18,0,0,,,,,,,,,0,3,2,0,0,5/6,0,75/77,14/14,49/50,12/13,11/11,24/24,21/22,0%,0/0,2,98,9,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,2
PHILLIPP MWENE,Austria,Mainz,Defender,,,,29/1/1994 (30),2,151,0,,,85.5%,32.21,17.18,1,0,,,,,,,,,0,16,1,0,0,4/5,0,60/70,17/19,42/43,1/8,21/22,3/3,24/28,12.5%,1/8,1,108,4,5,1,0,0,0,0,1,0,0,0,0,0,2,5,2,2,3,1,1,3
MAXIMILIAN WÖBER,Austria,Mönchengladbach,Defender,,,,04/2/1998 (26),2,149,0,,,90%,31.2,17.25,1,0,,,,,,,,,0,10,2,1,0,3/5,0,74/83,7/9,64/69,3/5,6/6,8/8,34/35,100%,1/1,1,105,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,1,1,0
PATRICK WIMMER,Austria,Wolfsburg,Defender,,,,30/5/2001 (23),3,138,0,,,80.34%,33.5,16.71,2,0,,,,,,,,,0,5,0,0,0,0/0,0,35/44,12/13,19/24,4/7,8/9,10/12,6/9,28.58%,2/7,2,72,7,6,4,0,0,0,0,0,0,0,0,4,0,5,8,6,1,4,0,3,3
KEVIN DANSO,Austria,Lens,Defender,,,,19/9/1998 (25),2,121,0,,,86%,33.3,13.78,1,0,,,,,,,,,0,6,2,0,0,6/7,0,65/73,14/15,47/50,4/8,5/5,27/28,19/19,0%,0/0,4,95,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,3,5
ALEXANDER PRASS,Austria,Sturm Graz,Midfielder,,,,26/5/2001 (23),3,119,0,,,83%,32,15.31,0,0,,,,,,,,,0,9,0,0,0,0/1,0,40/50,10/12,23/27,7/11,8/8,0/0,21/24,50%,2/4,2,72,5,4,3,0,0,0,0,2,0,0,0,0,0,0,1,0,2,3,1,2,2
ROMANO SCHMID,Austria,Bremen,Midfielder,,,,27/1/2000 (24),3,99,1,,,85.34%,31.7,12.88,0,0,,,,,,,,,0,6,0,0,0,1/1,0,39/46,12/13,25/30,2/3,17/17,9/11,9/9,0%,0/1,1,67,0,4,2,0,0,1,0,0,0,0,0,1,0,0,2,2,0,2,0,0,1
GERNOT TRAUNER,Austria,Feyenoord,Defender,,,,25/3/1992 (32),2,90,1,,,97.5%,30.9,10.86,0,0,,,,,,,,,0,7,3,0,0,0/0,0,75/77,14/14,55/56,6/7,6/6,21/21,18/18,0%,0/0,1,87,12,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0
MICHAEL GREGORITSCH,Austria,Freiburg,Forward,,,,18/4/1994 (30),3,80,0,,,84.34%,29.6,10.29,0,0,,,,,,,,,0,0,0,0,0,0/0,0,19/23,8/10,10/12,1/1,5/6,5/6,6/6,100%,1/1,0,29,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
LEOPOLD QUERFELD,Austria,Rapid Wien,Defender,,,,20/12/2003 (20),1,28,0,,,80%,26,3.27,1,0,,,,,,,,,0,3,0,0,0,0/0,0,8/10,2/2,4/4,2/4,3/3,1/1,1/1,0%,0/0,2,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ANDREAS WEIMANN,Austria,West Brom,Forward,,,,05/8/1991 (32),1,1,0,,,0%,26.8,0.81,0,0,,,,,,,,,0,0,0,0,0,1/1,0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0%,0/0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATTHIAS SEIDL,Austria,Rapid Wien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCO GRÜLL,Austria,Rapid Wien,Midfielder,,,,06/7/1998 (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIKLAS HEDL,Austria,Rapid Wien,Goalkeeper,,,,17/3/2001 (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLAVIUS DANILIUC,Austria,Salzburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXIMILIAN ENTRUP,Austria,Hartberg,Forward,,,,25/7/1997 (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORIAN KAINZ,Austria,Köln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEINZ LINDNER,Austria,Union SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEVIN DE BRUYNE,Belgium,Man City,Midfielder,,,,28/6/1991 (32),3,270,1,,,79.67%,32,33.81,0,0,,,,,,,,,0,5,0,0,0,0/0,0,123/155,36/48,75/91,12/16,23/24,32/36,34/40,16.67%,3/18,8,214,14,10,10,1,0,0,0,0,0,0,0,18,2,9,11,12,5,3,0,0,6
KOEN CASTEELS,Belgium,Wolfsburg,Goalkeeper,,,,25/6/1992 (32),3,270,0,12,2,82%,22.8,16.52,0,0,1,0,0,1,5,1,4,0,0,0,0,0,0,1/1,13,85/103,7/7,62/63,16/33,0/0,37/38,30/30,0%,0/0,4,111,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMADOU ONANA,Belgium,Everton,Midfielder,,,,16/8/2001 (22),3,270,0,,,92%,34.4,32.49,0,0,,,,,,,,,0,18,1,0,0,2/4,0,159/173,29/32,121/127,9/14,31/32,48/49,48/50,0%,0/0,2,199,16,9,4,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,4
TIMOTHY CASTAGNE,Belgium,Fulham,Defender,,,,05/12/1995 (28),3,270,0,,,85%,33.3,35.07,0,0,,,,,,,,,0,12,2,0,0,6/8,0,124/145,32/40,79/88,13/17,34/35,48/54,12/12,0%,0/4,4,209,6,17,1,0,0,0,0,0,0,0,0,0,0,3,6,3,2,2,0,1,0
WOUT FAES,Belgium,Leicester,Defender,,,,03/4/1998 (26),3,270,0,,,88.67%,32.8,29.61,1,0,,,,,,,,,0,16,2,0,0,7/8,0,182/206,37/44,134/143,11/19,14/15,85/87,34/35,0%,0/0,2,232,14,5,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,4,1,2,2
ROMELU LUKAKU,Belgium,Roma,Forward,,,,13/5/1993 (31),3,269,0,,,75%,33.5,25.22,0,0,,,,,,,,,0,1,0,0,0,2/3,0,33/44,19/26,13/16,1/2,11/12,8/12,10/11,0%,0/0,0,70,0,2,2,0,0,0,0,1,1,0,0,0,3,5,2,2,2,1,0,0,2
JÉRÉMY DOKU,Belgium,Man City,Forward,,,,27/5/2002 (22),3,233,0,,,83.34%,34.4,23.66,0,0,,,,,,,,,0,3,0,0,0,0/0,0,76/90,28/33,47/55,2/3,31/31,5/7,27/34,0%,0/4,0,133,4,12,4,0,0,0,0,0,0,0,0,0,0,22,9,11,20,4,0,0,3
JAN VERTONGHEN,Belgium,Anderlecht,Defender,,,,24/4/1987 (37),2,180,0,,,96.5%,30.3,18.64,0,0,,,,,,,,,0,10,1,0,0,8/8,0,97/100,9/9,77/78,11/13,6/6,22/22,42/42,0%,0/0,1,121,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
LEANDRO TROSSARD,Belgium,Arsenal,Midfielder,,,,04/12/1994 (29),3,170,0,,,73.34%,34.71,21.72,0,0,,,,,,,,,0,5,0,0,0,0/0,0,58/75,12/20,39/48,7/7,24/25,20/27,8/14,100%,2/2,2,96,5,7,2,0,0,0,0,0,0,0,0,0,1,1,4,7,5,1,0,0,4
ARTHUR THEATE,Belgium,Rennes,Defender,,,,25/5/2000 (24),2,167,0,,,88.5%,32.71,17.88,0,0,,,,,,,,,0,8,0,0,0,5/5,0,95/105,25/26,56/60,14/19,19/19,9/11,28/29,0%,0/1,3,134,15,7,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0
YOURI TIELEMANS,Belgium,Aston Villa,Midfielder,,,,07/5/1997 (27),3,150,1,,,88.67%,31.2,18.91,1,0,,,,,,,,,0,9,1,0,0,0/0,0,100/112,22/25,66/71,13/17,18/18,26/27,29/32,0%,0/3,5,130,13,7,2,1,0,0,0,0,0,0,0,0,0,0,3,3,0,3,1,1,1
YANNICK CARRASCO,Belgium,Al-Shabab FC,Forward,,,,04/9/1993 (30),3,130,0,,,88.67%,32.1,16.55,0,0,,,,,,,,,0,1,0,0,0,0/1,0,68/75,5/6,61/63,2/6,26/26,0/0,19/20,0%,0/1,1,96,3,3,4,0,0,0,0,0,0,0,0,0,1,2,3,5,3,1,0,0,1
OREL MANGALA,Belgium,Lyon,Midfielder,,,,18/3/1998 (26),3,103,0,,,96.67%,28.4,13.4,1,0,,,,,,,,,0,4,1,0,0,0/1,0,44/46,16/18,28/28,0/0,10/10,13/14,12/12,0%,0/0,1,52,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,1,1
ZENO DEBAST,Belgium,Anderlecht,Defender,,,,24/10/2003 (20),2,103,0,,,95.5%,27.9,12.21,0,0,,,,,,,,,0,9,1,0,0,5/9,0,91/100,11/13,74/77,6/10,5/5,30/30,31/33,0%,0/0,1,124,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
DODI LUKÉBAKIO,Belgium,Sevilla,Forward,,,,24/9/1997 (26),2,62,0,,,78.5%,32,7.59,2,0,,,,,,,,,0,1,0,0,0,0/0,0,21/24,7/9,14/14,0/1,9/9,6/8,4/4,0%,0/1,0,43,0,1,2,0,0,0,0,0,0,0,0,1,0,3,0,1,2,3,0,0,4
JOHAN BAKAYOKO,Belgium,PSV,Forward,,,,20/4/2003 (21),2,46,0,,,85%,32.4,6.61,0,0,,,,,,,,,0,0,0,0,0,0/0,0,18/21,4/5,12/14,2/2,7/7,9/10,1/1,0%,0/0,0,28,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
LOÏS OPENDA,Belgium,Leipzig,Forward,,,,16/2/2000 (24),2,7,0,,,25%,34.4,1.86,0,0,,,,,,,,,0,0,0,0,0,0/0,0,1/2,0/0,0/1,1/1,0/0,0/0,1/2,100%,1/1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ARTHUR VERMEEREN,Belgium,Atlético de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTER VRANCKX,Belgium,Wolfsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXIM DE CUYPER,Belgium,Club Brugge,Midfielder,,,,22/12/2000 (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLES DE KETELAERE,Belgium,Atalanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATZ SELS,Belgium,Nottm Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THOMAS KAMINSKI,Belgium,Luton,Goalkeeper,,,,23/10/1992 (31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXEL WITSEL,Belgium,Atlético de Madrid,Midfielder,,,,12/1/1989 (35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSIP ŠUTALO,Croatia,Ajax,Defender,,,,28/2/2000 (24),3,270,0,,,97.67%,34.5,30.67,0,0,,,,,,,,,0,24,6,0,0,5/7,0,186/191,36/37,138/142,12/12,12/12,76/78,51/51,0%,0/0,3,229,7,3,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,6,2,3,5
JOŠKO GVARDIOL,Croatia,Man City,Defender,,,,23/1/2002 (22),3,270,0,,,93.67%,33,32.93,0,0,,,,,,,,,0,13,1,0,0,2/3,0,136/144,42/45,86/89,8/10,26/26,9/10,77/77,0%,0/0,1,189,14,8,2,0,0,0,0,0,0,0,0,0,0,5,5,2,0,6,1,2,3
DOMINIK LIVAKOVIĆ,Croatia,Fenerbahçe,Goalkeeper,,,,09/1/1995 (29),3,270,0,9,0,73.67%,26.4,14.16,0,0,0,0,0,6,7,1,6,2,0,0,0,0,0,3/4,15,63/85,9/9,41/41,13/35,0/0,9/10,25/25,0%,0/0,5,101,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDREJ KRAMARIĆ,Croatia,Hoffenheim,Forward,,,,19/6/1991 (33),3,245,1,,,80.34%,31.4,31.37,0,0,,,,,,,,,0,5,1,0,0,0/0,0,71/88,27/33,40/51,4/4,31/32,13/19,18/24,14.29%,1/7,0,111,2,5,6,1,0,0,0,0,1,0,0,0,0,7,6,5,4,4,0,1,3
LUKA MODRIĆ,Croatia,Real Madrid,Midfielder,,,,09/9/1985 (38),3,235,1,,,89%,31.1,27.27,1,0,,,,,,,,,0,8,0,0,0,0/0,0,191/217,62/69,121/133,8/15,24/26,73/80,46/48,12.5%,1/8,9,246,29,17,3,0,1,0,0,0,1,1,0,4,0,9,13,11,1,3,1,1,2
MARCELO BROZOVIĆ,Croatia,Al-Nassr,Midfielder,,,,16/11/1992 (31),3,225,0,,,91.34%,31.3,32.71,1,0,,,,,,,,,0,6,1,0,0,4/5,0,171/186,44/46,118/129,9/11,16/16,58/61,59/64,50%,2/4,7,207,19,8,2,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,0,1,0
MATEO KOVAČIĆ,Croatia,Man City,Midfielder,,,,06/5/1994 (30),3,225,0,,,91%,30.6,27.56,0,0,,,,,,,,,0,10,1,0,0,0/0,0,155/169,39/43,109/115,7/11,16/17,32/32,79/81,0%,0/0,3,197,20,15,0,0,0,0,0,0,0,0,0,0,0,6,10,12,2,3,1,1,4
MARIN PONGRAČIĆ,Croatia,Lecce,Defender,,,,11/9/1997 (26),2,180,0,,,92.5%,34.6,20.71,1,0,,,,,,,,,0,13,3,0,0,7/7,0,112/121,19/20,81/87,12/14,8/8,33/34,39/39,0%,0/0,5,148,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,2
JOSIP STANIŠIĆ,Croatia,Leverkusen,Defender,,,,02/4/2000 (24),2,180,0,,,86%,33.8,21.48,1,0,,,,,,,,,0,14,1,0,0,2/2,0,100/116,34/39,60/64,6/13,42/43,35/41,6/6,25%,1/4,0,155,2,4,2,0,0,0,0,0,0,0,0,0,0,2,4,3,0,1,0,1,0
LOVRO MAJER,Croatia,Wolfsburg,Midfielder,,,,17/1/1998 (26),3,145,0,,,90.67%,30.9,21.56,0,0,,,,,,,,,0,7,0,0,0,0/0,0,92/101,35/41,52/55,5/5,27/27,28/32,22/23,66.67%,2/3,2,120,5,3,3,0,0,0,0,0,0,0,0,1,0,0,5,8,0,2,0,0,2
